,Unnamed: 0,name,age,market_value,fee,loan,ATT,SKI,MOV,POW,MEN,DEF,GK,league_to_encoded,position_Attacking Midfield,position_Central Midfield,position_Centre-Back,position_Centre-Forward,position_Defensive Midfield,position_Goalkeeper,position_Left Midfield,position_Left Winger,position_Left-Back,position_Right Midfield,position_Right Winger,position_Right-Back,position_Second Striker
211,271,Andrea Petagna,27,12.0,2.5,True,60.0,72.0,79.0,59.0,57.0,44.0,10.0,11,0,0,0,1,0,0,0,0,0,0,0,0,0
212,272,Boulaye Dia,25,12.0,1.0,True,71.0,68.0,69.0,74.0,73.0,57.0,11.0,11,0,0,0,1,0,0,0,0,0,0,0,0,0
213,273,Krzysztof Piatek,27,12.0,1.0,True,70.0,71.0,77.0,78.0,70.0,67.0,12.0,11,0,0,0,1,0,0,0,0,0,0,0,0,0
214,275,Divock Origi,27,12.0,0.0,False,65.0,70.0,59.0,75.0,63.0,76.0,9.0,11,0,0,0,1,0,0,0,0,0,0,0,0,0
215,277,Marcos Alonso,31,12.0,0.0,False,46.0,48.0,64.0,57.0,55.0,76.0,9.0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
216,279,Adnan Januzaj,27,12.0,0.0,False,70.0,74.0,80.0,78.0,62.0,22.0,10.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0
217,282,Sam Johnstone,29,12.0,0.0,False,59.0,63.0,76.0,72.0,67.0,70.0,12.0,9,0,0,0,0,0,1,0,0,0,0,0,0,0
218,284,Marcus Tavernier,23,4.5,11.9,False,52.0,55.0,71.0,53.0,61.0,69.0,8.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
219,287,Joshua Zirkzee,21,11.0,8.5,False,65.0,61.0,67.0,75.0,63.0,70.0,10.0,11,0,0,0,1,0,0,0,0,0,0,0,0,0
220,288,Matheus Henrique,24,11.0,7.0,False,52.0,55.0,71.0,53.0,61.0,69.0,8.0,11,0,1,0,0,0,0,0,0,0,0,0,0,0
221,290,Mady Camara,25,11.0,1.5,True,67.0,70.0,81.0,68.0,68.0,43.0,10.0,11,0,1,0,0,0,0,0,0,0,0,0,0,0
222,291,Flynn Downes,23,2.0,10.65,False,58.0,64.0,78.0,63.0,65.0,72.0,9.0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
223,293,James Garner,21,7.0,10.4,False,52.0,63.0,58.0,61.0,59.0,75.0,11.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
