,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
1347,Matous Trmal,Goalkeeper,23,2.0,Portugal,Liga Portugal,Vitória Guimarães SC,Portugal,Liga Portugal,CS Marítimo,50k,True
1348,Mateo Klimowicz,Left Winger,22,2.0,Germany,Bundesliga,VfB Stuttgart,Germany,2. Bundesliga,Arminia Bielefeld,0,True
1349,Mile Svilar,Goalkeeper,22,2.0,Portugal,Liga Portugal,SL Benfica,Italy,Serie A,AS Roma,0,False
1350,Zeki Amdouni,Centre-Forward,21,2.0,Switzerland,Challenge League,FC Lausanne-Sport,Switzerland,Super League,FC Basel 1893,0,True
1351,Zuriko Davitashvili,Right Winger,21,2.0,Georgia,Erovnuli Liga,Dinamo Batumi,France,Ligue 2,FC Girondins Bordeaux,0,True
1352,Jan Vertonghen,Centre-Back,35,2.0,Portugal,Liga Portugal,SL Benfica,Belgium,Jupiler Pro League,RSC Anderlecht,0,False
1353,Philipp Hofmann,Centre-Forward,29,2.0,Germany,2. Bundesliga,Karlsruher SC,Germany,Bundesliga,VfL Bochum,0,False
1354,Cenk Tosun,Centre-Forward,31,2.0,England,Premier League,Everton FC,Türkiye,Süper Lig,Besiktas JK,0,False
1355,Eli Dasa,Right-Back,29,2.0,Netherlands,Eredivisie,Vitesse Arnhem,Russia,Premier Liga,Dynamo Moscow,0,False
1356,Fraser Forster,Goalkeeper,34,2.0,England,Premier League,Southampton FC,England,Premier League,Tottenham Hotspur,0,False
1357,Luan,Attacking Midfield,29,2.0,Brazil,Série A,Sport Club Corinthians Paulista,Brazil,Série A,Santos FC,0,True
1358,Mateusz Zukowski,Left Winger,20,2.0,Scotland,Premiership,Rangers FC,Poland,Ekstraklasa,Lech Poznan,0,True
1359,Ole Selnæs,Defensive Midfield,27,2.0,China,Super League,Shenzhen FC,Switzerland,Super League,FC Zürich,0,False
1360,Auston Trusty,Centre-Back,23,2.0,England,Premier League,Arsenal FC,England,Championship,Birmingham City,0,True
1361,Tom Edwards,Right-Back,23,2.0,England,Championship,Stoke City,England,League One,Barnsley FC,0,True
1362,Salvi Sánchez,Right Winger,31,2.0,Spain,LaLiga,Cádiz CF,Spain,LaLiga,Rayo Vallecano,0,False
1363,Florian Lejeune,Centre-Back,31,2.0,Spain,LaLiga SmartBank,Deportivo Alavés,Spain,LaLiga,Rayo Vallecano,0,True
1364,Robert Zulj,Centre-Forward,30,2.0,United Arab Emirates,UAE Pro League,Ittihad Kalba FC,Austria,Bundesliga,LASK,0,False
1365,Lovre Kalinic,Goalkeeper,32,2.0,England,Premier League,Aston Villa,Croatia,SuperSport HNL,HNK Hajduk Split,0,False
1366,Jens Stryger Larsen,Right-Back,31,2.0,Italy,Serie A,Udinese Calcio,Türkiye,Süper Lig,Trabzonspor,0,False
1367,Davide Bettella,Centre-Back,22,2.0,Italy,Serie A,AC Monza,Italy,Serie B,Palermo FC,0,True
1368,Álvaro Carreras,Left-Back,19,2.0,England,Premier League,Manchester United,England,Championship,Preston North End,0,True
1369,Philippe Sandler,Centre-Back,25,2.0,Netherlands,Eredivisie,Feyenoord Rotterdam,Netherlands,Eredivisie,NEC Nijmegen,0,False
