,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
307,Cyle Larin,Centre-Forward,27,10.0,Türkiye,Süper Lig,Besiktas JK,Belgium,Jupiler Pro League,Club Brugge KV,0,False
308,Federico Bernardeschi,Right Winger,28,10.0,Italy,Serie A,Juventus FC,Canada,MLS,Toronto FC,0,False
309,Cucho Hernández,Centre-Forward,23,9.0,England,Championship,Watford FC,United States,MLS,Columbus Crew,9.55,False
310,João Victor,Centre-Back,23,8.0,Brazil,Série A,Sport Club Corinthians Paulista,Portugal,Liga Portugal,SL Benfica,9.5,False
311,Ahmetcan Kaplan,Centre-Back,19,2.8,Türkiye,Süper Lig,Trabzonspor,Netherlands,Eredivisie,Ajax Amsterdam,9.5,False
312,Andreas Pereira,Attacking Midfield,26,7.5,England,Premier League,Manchester United,England,Premier League,Fulham FC,9.5,False
313,José Manuel López,Centre-Forward,21,8.0,Argentina,Liga Profesional,Club Atlético Lanús,Brazil,Série A,Sociedade Esportiva Palmeiras,9.5,False
314,Miralem Pjanic,Central Midfield,32,9.5,Spain,LaLiga,FC Barcelona,United Arab Emirates,UAE Pro League,Sharjah FC,0,False
315,Lewis O'Brien,Central Midfield,23,3.5,England,Championship,Huddersfield Town,England,Premier League,Nottingham Forest,9.4,False
316,Alphonse Areola,Goalkeeper,29,8.0,France,Ligue 1,Paris Saint-Germain,England,Premier League,West Ham United,9.3,False
317,Brandon Soppy,Right-Back,20,5.0,Italy,Serie A,Udinese Calcio,Italy,Serie A,Atalanta BC,9.1,False
318,Gabriel Slonina,Goalkeeper,18,3.0,United States,MLS,Chicago Fire FC,England,Premier League,Chelsea FC,9.09,False
319,Christopher Wooh,Centre-Back,20,3.0,France,Ligue 1,RC Lens,France,Ligue 1,Stade Rennais FC,9.0,False
320,Andrea Colpani,Attacking Midfield,23,2.4,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,9.0,False
321,Jhon Lucumí,Centre-Back,24,9.0,Belgium,Jupiler Pro League,KRC Genk,Italy,Serie A,Bologna FC 1909,8.0,False
322,Andreas Cornelius,Centre-Forward,29,9.0,Türkiye,Süper Lig,Trabzonspor,Denmark,Superliga,FC Copenhagen,6.0,False
323,Adam Buksa,Centre-Forward,25,9.0,United States,MLS,New England Revolution,France,Ligue 1,RC Lens,6.0,False
324,Kevin Mbabu,Right-Back,27,9.0,Germany,Bundesliga,VfL Wolfsburg,England,Premier League,Fulham FC,5.5,False
325,Bernd Leno,Goalkeeper,30,9.0,England,Premier League,Arsenal FC,England,Premier League,Fulham FC,3.6,False
326,Kristijan Jakic,Defensive Midfield,25,9.0,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Germany,Bundesliga,Eintracht Frankfurt,3.5,False
327,Anwar El Ghazi,Right Winger,27,9.0,England,Premier League,Aston Villa,Netherlands,Eredivisie,PSV Eindhoven,2.5,False
328,Predrag Rajkovic,Goalkeeper,26,9.0,France,Ligue 1,Stade Reims,Spain,LaLiga,RCD Mallorca,2.0,False
329,Nikola Moro,Defensive Midfield,24,9.0,Russia,Premier Liga,Dynamo Moscow,Italy,Serie A,Bologna FC 1909,1.5,True
330,Ricardo Pepi,Centre-Forward,19,9.0,Germany,Bundesliga,FC Augsburg,Netherlands,Eredivisie,FC Groningen,500k,True
331,Luca Pellegrini,Left-Back,23,9.0,Italy,Serie A,Juventus FC,Germany,Bundesliga,Eintracht Frankfurt,0,True
332,Jean-Philippe Gbamin,Defensive Midfield,26,9.0,England,Premier League,Everton FC,Türkiye,Süper Lig,Trabzonspor,0,True
333,Freddie Woodman,Goalkeeper,25,9.0,England,Premier League,Newcastle United,England,Championship,Preston North End,0,False
334,Óscar Rodríguez,Attacking Midfield,24,9.0,Spain,LaLiga,Sevilla FC,Spain,LaLiga,Celta de Vigo,0,True
335,Unai Núñez,Centre-Back,25,9.0,Spain,LaLiga,Athletic Bilbao,Spain,LaLiga,Celta de Vigo,0,True
336,Ilaix Moriba,Central Midfield,19,9.0,Germany,Bundesliga,RB Leipzig,Spain,LaLiga,Valencia CF,0,True
337,Rafinha,Attacking Midfield,29,9.0,France,Ligue 1,Paris Saint-Germain,Qatar,Stars League,Al-Arabi SC,0,False
338,Portu,Right Winger,30,9.0,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Getafe CF,0,True
339,Paco Alcácer,Centre-Forward,28,9.0,Spain,LaLiga,Villarreal CF,United Arab Emirates,UAE Pro League,Sharjah FC,0,False
340,Malick Thiaw,Centre-Back,21,6.0,Germany,Bundesliga,FC Schalke 04,Italy,Serie A,AC Milan,8.8,False
341,Ritsu Doan,Right Winger,24,8.0,Netherlands,Eredivisie,PSV Eindhoven,Germany,Bundesliga,SC Freiburg,8.5,False
342,Omar Richards,Left-Back,24,7.0,Germany,Bundesliga,Bayern Munich,England,Premier League,Nottingham Forest,8.5,False
343,Giulio Maggiore,Central Midfield,24,8.5,Italy,Serie A,Spezia Calcio,Italy,Serie A,US Salernitana 1919,3.5,False
344,David Hancko,Centre-Back,24,4.5,Czech Republic,Fortuna Liga,AC Sparta Prague,Netherlands,Eredivisie,Feyenoord Rotterdam,8.3,False
345,Jens Petter Hauge,Left Winger,22,8.0,Italy,Serie A,AC Milan,Germany,Bundesliga,Eintracht Frankfurt,8.2,False
346,Vedat Muriqi,Centre-Forward,28,7.0,Italy,Serie A,SS Lazio,Spain,LaLiga,RCD Mallorca,8.02,False
347,Nathan Ngoumou,Right Winger,22,2.5,France,Ligue 1,FC Toulouse,Germany,Bundesliga,Borussia Mönchengladbach,8.0,False
348,Alexander Bah,Right-Back,24,7.0,Czech Republic,Fortuna Liga,SK Slavia Prague,Portugal,Liga Portugal,SL Benfica,8.0,False
349,Nehuén Pérez,Centre-Back,22,6.0,Spain,LaLiga,Atlético de Madrid,Italy,Serie A,Udinese Calcio,8.0,False
350,André Almeida,Central Midfield,22,5.0,Portugal,Liga Portugal,Vitória Guimarães SC,Spain,LaLiga,Valencia CF,8.0,False
351,Simon Adingra,Left Winger,20,1.5,Denmark,Superliga,FC Nordsjaelland,England,Premier League,Brighton & Hove Albion,8.0,False
352,El Bilal Touré,Centre-Forward,20,6.5,France,Ligue 1,Stade Reims,Spain,LaLiga,UD Almería,8.0,False
353,Marcos Antônio,Central Midfield,22,8.0,Ukraine,Premier Liga,Shakhtar Donetsk,Italy,Serie A,SS Lazio,7.5,False
354,Kaiky,Centre-Back,18,8.0,Brazil,Série A,Santos FC,Spain,LaLiga,UD Almería,7.0,False
355,Lucas Alario,Centre-Forward,29,8.0,Germany,Bundesliga,Bayer 04 Leverkusen,Germany,Bundesliga,Eintracht Frankfurt,6.0,False
356,Flavius Daniliuc,Centre-Back,21,8.0,France,Ligue 1,OGC Nice,Italy,Serie A,US Salernitana 1919,5.8,False
357,Patrick Wimmer,Right Winger,21,8.0,Germany,2. Bundesliga,Arminia Bielefeld,Germany,Bundesliga,VfL Wolfsburg,5.0,False
358,Francisco Conceição,Right Winger,19,8.0,Portugal,Liga Portugal,FC Porto,Netherlands,Eredivisie,Ajax Amsterdam,5.0,False
359,Anders Dreyer,Right Winger,24,8.0,Russia,1.League,Rubin Kazan,Denmark,Superliga,FC Midtjylland,5.0,False
360,Carlos Vinícius,Centre-Forward,27,8.0,Portugal,Liga Portugal,SL Benfica,England,Premier League,Fulham FC,5.0,False
361,Denis Bouanga,Left Winger,27,8.0,France,Ligue 2,AS Saint-Étienne,United States,MLS,Los Angeles FC,4.55,False
362,Enis Bardhi,Attacking Midfield,27,8.0,Spain,LaLiga SmartBank,Levante UD,Türkiye,Süper Lig,Trabzonspor,3.0,False
363,Kastriot Imeri,Left Midfield,22,8.0,Switzerland,Super League,Servette FC,Switzerland,Super League,BSC Young Boys,3.0,False
364,Moi Gómez,Left Winger,28,8.0,Spain,LaLiga,Villarreal CF,Spain,LaLiga,CA Osasuna,1.8,False
365,Haris Seferovic,Centre-Forward,30,8.0,Portugal,Liga Portugal,SL Benfica,Türkiye,Süper Lig,Galatasaray,1.0,True
366,Malang Sarr,Centre-Back,23,8.0,England,Premier League,Chelsea FC,Monaco,Ligue 1,AS Monaco,1.0,True
367,Domingos Duarte,Centre-Back,27,8.0,Spain,LaLiga SmartBank,Granada CF,Spain,LaLiga,Getafe CF,750k,False
368,Isaac Hayden,Defensive Midfield,27,8.0,England,Premier League,Newcastle United,England,Championship,Norwich City,600k,True
369,Alejandro Pozuelo,Attacking Midfield,30,8.0,Canada,MLS,Toronto FC,United States,MLS,Inter Miami CF,136k,False
370,Jordan Larsson,Centre-Forward,25,8.0,Russia,Premier Liga,Spartak Moscow,Germany,Bundesliga,FC Schalke 04,0,False
371,Joshua King,Left Winger,30,8.0,England,Championship,Watford FC,Türkiye,Süper Lig,Fenerbahce,0,False
372,Henrikh Mkhitaryan,Central Midfield,33,8.0,Italy,Serie A,AS Roma,Italy,Serie A,Inter Milan,0,False
373,Romain Saïss,Centre-Back,32,8.0,England,Premier League,Wolverhampton Wanderers,Türkiye,Süper Lig,Besiktas JK,0,False
374,Jens Petter Hauge,Left Winger,22,8.0,Germany,Bundesliga,Eintracht Frankfurt,Belgium,Jupiler Pro League,KAA Gent,0,True
375,Christos Tzolis,Left Winger,20,8.0,England,Championship,Norwich City,Netherlands,Eredivisie,Twente Enschede FC,0,True
376,Abde Ezzalzouli,Left Winger,20,8.0,Spain,LaLiga,FC Barcelona,Spain,LaLiga,CA Osasuna,0,True
377,Kacper Kozlowski,Central Midfield,18,8.0,England,Premier League,Brighton & Hove Albion,Netherlands,Eredivisie,Vitesse Arnhem,0,True
378,Cédric Bakambu,Centre-Forward,31,8.0,France,Ligue 1,Olympique Marseille,Greece,Super League 1,Olympiacos Piraeus,0,False
379,Tyler Roberts,Centre-Forward,23,8.0,England,Premier League,Leeds United,England,Championship,Queens Park Rangers,0,True
380,Zinho Vanheusden,Centre-Back,22,8.0,Italy,Serie A,Inter Milan,Netherlands,Eredivisie,AZ Alkmaar,0,True
381,Abdallah Sima,Right Winger,21,8.0,England,Premier League,Brighton & Hove Albion,France,Ligue 1,Angers SCO,0,True
382,Pol Lirola,Right-Back,24,8.0,France,Ligue 1,Olympique Marseille,Spain,LaLiga,Elche CF,0,True
383,Marco Carnesecchi,Goalkeeper,22,8.0,Italy,Serie A,Atalanta BC,Italy,Serie A,US Cremonese,0,True
384,Djibril Sidibé,Right-Back,30,8.0,Monaco,Ligue 1,AS Monaco,Greece,Super League 1,AEK Athens,0,False
385,Munir El Haddadi,Right Winger,26,8.0,Spain,LaLiga,Sevilla FC,Spain,LaLiga,Getafe CF,0,False
386,Reinier,Attacking Midfield,20,8.0,Spain,LaLiga,Real Madrid,Spain,LaLiga,Girona FC,0,True
387,Loïs Openda,Centre-Forward,22,7.5,Belgium,Jupiler Pro League,Club Brugge KV,France,Ligue 1,RC Lens,15.39,False
388,Nicolò Casale,Centre-Back,24,7.5,Italy,Serie A,Hellas Verona,Italy,Serie A,SS Lazio,8.0,False
389,Bartol Franjic,Defensive Midfield,22,4.5,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Germany,Bundesliga,VfL Wolfsburg,7.5,False
390,Takefusa Kubo,Right Winger,21,7.5,Spain,LaLiga,Real Madrid,Spain,LaLiga,Real Sociedad,6.5,False
391,Guus Til,Attacking Midfield,24,7.5,Russia,Premier Liga,Spartak Moscow,Netherlands,Eredivisie,PSV Eindhoven,3.0,False
392,Ezgjan Alioski,Left-Back,30,7.5,Saudi Arabia,Without League,Al-Ahli SFC,Türkiye,Süper Lig,Fenerbahce,0,True
393,Isco,Attacking Midfield,30,7.5,Spain,LaLiga,Real Madrid,Spain,LaLiga,Sevilla FC,0,False
394,Grischa Prömel,Central Midfield,27,7.5,Germany,Bundesliga,1.FC Union Berlin,Germany,Bundesliga,TSG 1899 Hoffenheim,0,False
395,Alexandru Cicâldău,Attacking Midfield,25,7.5,Türkiye,Süper Lig,Galatasaray,United Arab Emirates,UAE Pro League,Ittihad Kalba FC,0,True
396,Quinten Timber,Central Midfield,21,4.0,Netherlands,Eredivisie,FC Utrecht,Netherlands,Eredivisie,Feyenoord Rotterdam,7.4,False
397,Armand Laurienté,Left Winger,23,7.0,France,Ligue 1,FC Lorient,Italy,Serie A,US Sassuolo,10.1,False
398,Perr Schuurs,Centre-Back,22,7.0,Netherlands,Eredivisie,Ajax Amsterdam,Italy,Serie A,Torino FC,9.4,False
399,Cameron Carter-Vickers,Centre-Back,24,7.0,England,Premier League,Tottenham Hotspur,Scotland,Premiership,Celtic FC,7.0,False
400,Matteo Lovato,Centre-Back,22,7.0,Italy,Serie A,Atalanta BC,Italy,Serie A,US Salernitana 1919,7.0,False
401,Strahinja Pavlovic,Centre-Back,21,5.0,Monaco,Ligue 1,AS Monaco,Austria,Bundesliga,Red Bull Salzburg,7.0,False
402,Lázaro,Left Winger,20,7.0,Brazil,Série A,CR Flamengo,Spain,LaLiga,UD Almería,7.0,False
403,Aaron Boupendza,Centre-Forward,26,7.0,Qatar,Stars League,Al-Arabi SC,Saudi Arabia,Saudi Pro League,Al-Shabab FC,7.0,False
404,Samuel Lino,Left Winger,22,7.0,Portugal,Liga Portugal,Gil Vicente FC,Spain,LaLiga,Atlético de Madrid,6.5,False
405,Jordan,Centre-Forward,26,7.0,Switzerland,Super League,BSC Young Boys,Germany,Bundesliga,1.FC Union Berlin,6.0,False
406,Giuliano Galoppo,Attacking Midfield,23,7.0,Argentina,Liga Profesional,CA Banfield,Brazil,Série A,São Paulo Futebol Clube,6.0,False
407,Luan Peres,Centre-Back,28,7.0,France,Ligue 1,Olympique Marseille,Türkiye,Süper Lig,Fenerbahce,5.23,False
408,Ui-jo Hwang,Centre-Forward,29,7.0,France,Ligue 2,FC Girondins Bordeaux,England,Premier League,Nottingham Forest,4.0,False
409,Fabien Centonze,Right-Back,26,7.0,France,Ligue 2,FC Metz,France,Ligue 1,FC Nantes,4.0,False
410,Toby Alderweireld,Centre-Back,33,7.0,Qatar,Stars League,Al-Duhail SC,Belgium,Jupiler Pro League,Royal Antwerp FC,4.0,False
411,Marquinhos,Right Winger,19,7.0,Brazil,Série A,São Paulo Futebol Clube,England,Premier League,Arsenal FC,3.5,False
412,Raoul Bellanova,Right Midfield,22,7.0,Italy,Serie B,Cagliari Calcio,Italy,Serie A,Inter Milan,3.12,True
413,Willian Arão,Defensive Midfield,30,7.0,Brazil,Série A,CR Flamengo,Türkiye,Süper Lig,Fenerbahce,3.0,False
414,Morten Thorsby,Central Midfield,26,7.0,Italy,Serie A,UC Sampdoria,Germany,Bundesliga,1.FC Union Berlin,3.0,False
415,Adam Ounas,Right Winger,25,7.0,Italy,Serie A,SSC Napoli,France,Ligue 1,LOSC Lille,3.0,False
416,Jorge Carrascal,Attacking Midfield,24,7.0,Argentina,Liga Profesional,CA River Plate,Russia,Premier Liga,CSKA Moscow,3.0,False
417,Théo Bongonda,Right Winger,26,7.0,Belgium,Jupiler Pro League,KRC Genk,Spain,LaLiga,Cádiz CF,3.0,False
418,Oliver Abildgaard,Defensive Midfield,26,7.0,Russia,1.League,Rubin Kazan,Scotland,Premiership,Celtic FC,1.0,True
419,Raoul Bellanova,Right Midfield,22,7.0,France,Ligue 2,FC Girondins Bordeaux,Italy,Serie B,Cagliari Calcio,700k,False
420,Diogo Leite,Centre-Back,23,7.0,Portugal,Liga Portugal,FC Porto,Germany,Bundesliga,1.FC Union Berlin,500k,True
421,Kenedy,Left Winger,26,7.0,England,Premier League,Chelsea FC,Spain,LaLiga,Real Valladolid CF,500k,False
422,Alex Kral,Defensive Midfield,24,7.0,Russia,Premier Liga,Spartak Moscow,Germany,Bundesliga,FC Schalke 04,0,True
423,Anthony Caci,Left-Back,25,7.0,France,Ligue 1,RC Strasbourg Alsace,Germany,Bundesliga,1.FSV Mainz 05,0,False
424,Milot Rashica,Right Winger,26,7.0,England,Championship,Norwich City,Türkiye,Süper Lig,Galatasaray,0,True
425,Yeferson Soteldo,Left Winger,25,7.0,Mexico,Liga MX Apertura,Tigres UANL,Brazil,Série A,Santos FC,0,True
426,John Anthony Brooks,Centre-Back,29,7.0,Germany,Bundesliga,VfL Wolfsburg,Portugal,Liga Portugal,SL Benfica,0,False
427,Colin Dagba,Right-Back,23,7.0,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,RC Strasbourg Alsace,0,True
428,Ui-jo Hwang,Centre-Forward,29,7.0,England,Premier League,Nottingham Forest,Greece,Super League 1,Olympiacos Piraeus,0,True
429,Martín Satriano,Centre-Forward,21,7.0,Italy,Serie A,Inter Milan,Italy,Serie A,FC Empoli,0,True
430,John Swift,Central Midfield,27,7.0,England,Championship,Reading FC,England,Championship,West Bromwich Albion,0,False
431,Jack Stephens,Centre-Back,28,7.0,England,Premier League,Southampton FC,England,Premier League,AFC Bournemouth,0,True
432,Samuel Lino,Left Winger,22,7.0,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,Valencia CF,0,True
433,Riqui Puig,Central Midfield,22,7.0,Spain,LaLiga,FC Barcelona,United States,MLS,Los Angeles Galaxy,0,False
434,Uroš Račić,Central Midfield,24,7.0,Spain,LaLiga,Valencia CF,Portugal,Liga Portugal,SC Braga,0,True
435,Lucien Agoumé,Defensive Midfield,20,7.0,Italy,Serie A,Inter Milan,France,Ligue 1,ESTAC Troyes,0,True
436,Taylor Harwood-Bellis,Centre-Back,20,7.0,England,Premier League,Manchester City,England,Championship,Burnley FC,0,True
437,Thomas Strakosha,Goalkeeper,27,7.0,Italy,Serie A,SS Lazio,England,Premier League,Brentford FC,0,False
438,Stefano Sensi,Central Midfield,26,7.0,Italy,Serie A,Inter Milan,Italy,Serie A,AC Monza,0,True
439,Ghislain Konan,Left-Back,26,7.0,France,Ligue 1,Stade Reims,Saudi Arabia,Saudi Pro League,Al-Nassr FC,0,False
440,Miguel Borja,Centre-Forward,29,3.7,Colombia,Liga DIMAYOR II,Junior FC,Argentina,Liga Profesional,CA River Plate,6.7,False
441,Sávio,Left Winger,18,6.0,Brazil,Série A,Clube Atlético Mineiro,France,Ligue 1,ESTAC Troyes,6.5,False
442,Cyriel Dessers,Centre-Forward,27,6.0,Belgium,Jupiler Pro League,KRC Genk,Italy,Serie A,US Cremonese,6.5,False
443,Samir Caetano,Centre-Back,27,5.0,England,Championship,Watford FC,Mexico,Liga MX Apertura,Tigres UANL,6.5,False
444,Alberth Elis,Right Winger,26,6.5,Portugal,Liga Portugal,Boavista FC,France,Ligue 2,FC Girondins Bordeaux,6.0,False
445,Gedson Fernandes,Central Midfield,23,6.5,Portugal,Liga Portugal,SL Benfica,Türkiye,Süper Lig,Besiktas JK,6.0,False
446,Rıdvan Yılmaz,Left-Back,21,6.5,Türkiye,Süper Lig,Besiktas JK,Scotland,Premiership,Rangers FC,4.0,False
447,Mostafa Mohamed,Centre-Forward,24,6.5,Egypt,Premier League,Zamalek SC,Türkiye,Süper Lig,Galatasaray,3.85,False
448,Nicolás Castro,Attacking Midfield,21,6.5,Argentina,Liga Profesional,CA Newell's Old Boys,Belgium,Jupiler Pro League,KRC Genk,3.2,False
449,Andreaw Gravillon,Centre-Back,24,6.5,Italy,Serie A,Inter Milan,France,Ligue 1,Stade Reims,3.0,False
450,Erick Pulgar,Defensive Midfield,28,6.5,Italy,Serie A,ACF Fiorentina,Brazil,Série A,CR Flamengo,2.8,False
451,Mostafa Mohamed,Centre-Forward,24,6.5,Türkiye,Süper Lig,Galatasaray,France,Ligue 1,FC Nantes,250k,True
452,Niklas Stark,Centre-Back,27,6.5,Germany,Bundesliga,Hertha BSC,Germany,Bundesliga,SV Werder Bremen,0,False
453,Jed Wallace,Right Winger,28,6.5,England,Championship,Millwall FC,England,Championship,West Bromwich Albion,0,False
454,Rémy Cabella,Attacking Midfield,32,6.5,France,Ligue 1,Montpellier HSC,France,Ligue 1,LOSC Lille,0,False
455,Santiago Ascacíbar,Defensive Midfield,25,6.5,Germany,Bundesliga,Hertha BSC,Italy,Serie A,US Cremonese,0,True
456,Junior Messias,Right Winger,31,6.0,Italy,Serie C-C,FC Crotone,Italy,Serie A,AC Milan,6.2,False
457,Victor Boniface,Centre-Forward,21,700k,Norway,Eliteserien,FK Bodø/Glimt,Belgium,Jupiler Pro League,Union Saint-Gilloise,6.1,False
458,Gonzalo Plata,Right Winger,21,6.0,Portugal,Liga Portugal,Sporting CP,Spain,LaLiga,Real Valladolid CF,9.0,False
459,Yusuf Demir,Right Winger,19,5.0,Austria,Bundesliga,Rapid Vienna,Türkiye,Süper Lig,Galatasaray,6.0,False
460,Fausto Vera,Defensive Midfield,22,6.0,Argentina,Liga Profesional,AA Argentinos Juniors,Brazil,Série A,Sport Club Corinthians Paulista,6.0,False
461,Santiago Gimenez,Centre-Forward,21,4.0,Mexico,Liga MX Apertura,CD Cruz Azul,Netherlands,Eredivisie,Feyenoord Rotterdam,6.0,False
462,Mario Gila,Centre-Back,21,500k,Spain,Primera Federación - Gr. I,Real Madrid Castilla,Italy,Serie A,SS Lazio,6.0,False
463,Fernando,Centre-Forward,23,5.0,Ukraine,Premier Liga,Shakhtar Donetsk,Austria,Bundesliga,Red Bull Salzburg,6.0,False
464,Pep Biel,Attacking Midfield,25,6.0,Denmark,Superliga,FC Copenhagen,Greece,Super League 1,Olympiacos Piraeus,6.0,False
465,Matías Galarza,Central Midfield,20,800k,Argentina,Liga Profesional,AA Argentinos Juniors,Belgium,Jupiler Pro League,KRC Genk,6.0,False
466,Felix Afena-Gyan,Centre-Forward,19,6.0,Italy,Serie A,AS Roma,Italy,Serie A,US Cremonese,6.0,False
467,Bjorn Meijer,Left-Back,19,3.0,Netherlands,Eredivisie,FC Groningen,Belgium,Jupiler Pro League,Club Brugge KV,6.0,False
468,Christian Benteke,Centre-Forward,31,6.0,England,Premier League,Crystal Palace,United States,MLS,D.C. United,5.46,False
469,Jonathan Rodríguez,Centre-Forward,28,6.0,Saudi Arabia,Saudi Pro League,Al-Nassr FC,Mexico,Liga MX Apertura,CF América,5.45,False
470,Valentin Rosier,Right-Back,25,6.0,Portugal,Liga Portugal,Sporting CP,Türkiye,Süper Lig,Besiktas JK,4.8,False
471,Anel Ahmedhodzic,Centre-Back,23,6.0,Sweden,Allsvenskan,Malmö FF,England,Championship,Sheffield United,4.5,False
472,Javairô Dilrosun,Right Winger,24,6.0,Germany,Bundesliga,Hertha BSC,Netherlands,Eredivisie,Feyenoord Rotterdam,4.0,False
473,Miguel Gutiérrez,Left-Back,21,6.0,Spain,LaLiga,Real Madrid,Spain,LaLiga,Girona FC,4.0,False
474,Matías Vargas,Left Winger,25,6.0,Spain,LaLiga,RCD Espanyol Barcelona,China,Super League,Shanghai Port,4.0,False
475,Fredrik Midtsjø,Central Midfield,28,6.0,Netherlands,Eredivisie,AZ Alkmaar,Türkiye,Süper Lig,Galatasaray,3.5,False
476,Gamid Agalarov,Centre-Forward,21,6.0,Russia,1.League,FK Ufa,Russia,Premier Liga,Akhmat Grozny,3.5,False
477,Darwin Machís,Left Winger,29,6.0,Spain,LaLiga SmartBank,Granada CF,Mexico,Liga MX Apertura,FC Juárez,3.5,False
478,Willy Boly,Centre-Back,31,6.0,England,Premier League,Wolverhampton Wanderers,England,Premier League,Nottingham Forest,2.6,False
479,Bartlomiej Dragowski,Goalkeeper,24,6.0,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Spezia Calcio,2.45,False
480,Eric Bailly,Centre-Back,28,6.0,England,Premier League,Manchester United,France,Ligue 1,Olympique Marseille,2.0,True
481,Amadou Diawara,Defensive Midfield,25,6.0,Italy,Serie A,AS Roma,Belgium,Jupiler Pro League,RSC Anderlecht,1.89,False
482,Daniel Wass,Central Midfield,33,6.0,Spain,LaLiga,Atlético de Madrid,Denmark,Superliga,Bröndby IF,1.75,False
483,Marc Bartra,Centre-Back,31,6.0,Spain,LaLiga,Real Betis Balompié,Türkiye,Süper Lig,Trabzonspor,1.25,False
484,Lorenzo Lucca,Centre-Forward,21,6.0,Italy,Serie B,Pisa Sporting Club,Netherlands,Eredivisie,Ajax Amsterdam,1.0,True
485,Carles Pérez,Right Winger,24,6.0,Italy,Serie A,AS Roma,Spain,LaLiga,Celta de Vigo,1.0,True
486,Florent Mollet,Attacking Midfield,30,6.0,France,Ligue 1,Montpellier HSC,Germany,Bundesliga,FC Schalke 04,500k,False
487,Tino Kadewere,Centre-Forward,26,6.0,France,Ligue 1,Olympique Lyon,Spain,LaLiga,RCD Mallorca,400k,True
488,Mergim Berisha,Centre-Forward,24,6.0,Türkiye,Süper Lig,Fenerbahce,Germany,Bundesliga,FC Augsburg,300k,True
489,Bruma,Left Winger,27,6.0,Netherlands,Eredivisie,PSV Eindhoven,Türkiye,Süper Lig,Fenerbahce,0,True
490,Filip Uremovic,Centre-Back,25,6.0,Russia,1.League,Rubin Kazan,Germany,Bundesliga,Hertha BSC,0,False
491,Lys Mousset,Centre-Forward,26,6.0,England,Championship,Sheffield United,Germany,Bundesliga,VfL Bochum,0,False
492,Ermedin Demirovic,Centre-Forward,24,6.0,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,FC Augsburg,0,False
493,Mohamed Daramy,Left Winger,20,6.0,Netherlands,Eredivisie,Ajax Amsterdam,Denmark,Superliga,FC Copenhagen,0,True
494,Fabián Balbuena,Centre-Back,30,6.0,Russia,Premier Liga,Dynamo Moscow,Brazil,Série A,Sport Club Corinthians Paulista,0,True
495,Stefan Ortega,Goalkeeper,29,6.0,Germany,2. Bundesliga,Arminia Bielefeld,England,Premier League,Manchester City,0,False
496,Otávio,Defensive Midfield,28,6.0,France,Ligue 2,FC Girondins Bordeaux,Brazil,Série A,Clube Atlético Mineiro,0,False
497,Hannibal,Attacking Midfield,19,6.0,England,Premier League,Manchester United,England,Championship,Birmingham City,0,True
498,Ki-Jana Hoever,Right-Back,20,6.0,England,Premier League,Wolverhampton Wanderers,Netherlands,Eredivisie,PSV Eindhoven,0,True
499,Sávio,Left Winger,18,6.0,France,Ligue 1,ESTAC Troyes,Netherlands,Eredivisie,PSV Eindhoven,0,True
500,Valentino Lazaro,Right Midfield,26,6.0,Italy,Serie A,Inter Milan,Italy,Serie A,Torino FC,0,True
501,Luis Henrique,Left Winger,20,6.0,France,Ligue 1,Olympique Marseille,Brazil,Série A,Botafogo de Futebol e Regatas,0,True
502,Callum Robinson,Centre-Forward,27,6.0,England,Championship,West Bromwich Albion,Wales,Championship,Cardiff City,0,False
503,Aaron Connolly,Centre-Forward,22,6.0,England,Premier League,Brighton & Hove Albion,Italy,Serie B,Venezia FC,0,True
504,Zack Steffen,Goalkeeper,27,6.0,England,Premier League,Manchester City,England,Championship,Middlesbrough FC,0,True
505,Konrad de la Fuente,Left Winger,21,6.0,France,Ligue 1,Olympique Marseille,Greece,Super League 1,Olympiacos Piraeus,0,True
506,Martin Braithwaite,Centre-Forward,31,6.0,Spain,LaLiga,FC Barcelona,Spain,LaLiga,RCD Espanyol Barcelona,0,False
507,Alexis Claude-Maurice,Attacking Midfield,24,6.0,France,Ligue 1,OGC Nice,France,Ligue 1,RC Lens,0,True
508,Óscar Mingueza,Right-Back,23,6.0,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Celta de Vigo,0,False
509,Marin Pongracic,Centre-Back,24,6.0,Germany,Bundesliga,VfL Wolfsburg,Italy,Serie A,US Lecce,0,True
510,Adil Aouchiche,Attacking Midfield,20,6.0,France,Ligue 2,AS Saint-Étienne,France,Ligue 1,FC Lorient,0,False
511,Jordan Amavi,Left-Back,28,6.0,France,Ligue 1,Olympique Marseille,Spain,LaLiga,Getafe CF,0,True
512,Artem Dzyuba,Centre-Forward,33,6.0,Russia,Premier Liga,Zenit St. Petersburg,Türkiye,Süper Lig,Adana Demirspor,0,False
