,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
178,Luiz Felipe,Centre-Back,25,16.0,Italy,Serie A,SS Lazio,Spain,LaLiga,Real Betis Balompié,0,False
179,Yuri Alberto,Centre-Forward,21,16.0,Russia,Premier Liga,Zenit St. Petersburg,Brazil,Série A,Sport Club Corinthians Paulista,0,True
180,Luka Jović,Centre-Forward,24,16.0,Spain,LaLiga,Real Madrid,Italy,Serie A,ACF Fiorentina,0,False
181,Diadié Samassékou,Defensive Midfield,26,16.0,Germany,Bundesliga,TSG 1899 Hoffenheim,Greece,Super League 1,Olympiacos Piraeus,0,True
182,Bertrand Traoré,Right Winger,26,16.0,England,Premier League,Aston Villa,Türkiye,Süper Lig,Basaksehir FK,0,True
183,Emerson Palmieri,Left-Back,28,14.0,England,Premier League,Chelsea FC,England,Premier League,West Ham United,15.4,False
184,Cheick Doucouré,Defensive Midfield,22,15.0,France,Ligue 1,RC Lens,England,Premier League,Crystal Palace,22.6,False
185,Takumi Minamino,Left Winger,27,12.0,England,Premier League,Liverpool FC,Monaco,Ligue 1,AS Monaco,15.0,False
186,Beto,Centre-Forward,24,10.0,Portugal,Liga Portugal,Portimonense SC,Italy,Serie A,Udinese Calcio,15.0,False
187,Mikkel Damsgaard,Left Winger,22,15.0,Italy,Serie A,UC Sampdoria,England,Premier League,Brentford FC,15.0,False
188,Everton,Left Winger,26,15.0,Portugal,Liga Portugal,SL Benfica,Brazil,Série A,CR Flamengo,14.0,False
189,Khvicha Kvaratskhelia,Left Winger,21,15.0,Georgia,Erovnuli Liga,Dinamo Batumi,Italy,Serie A,SSC Napoli,13.3,False
190,Rasmus Kristensen,Right-Back,24,15.0,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Leeds United,13.0,False
191,Mohamed-Ali Cho,Left Winger,18,15.0,France,Ligue 1,Angers SCO,Spain,LaLiga,Real Sociedad,13.0,False
192,Orel Mangala,Central Midfield,24,15.0,Germany,Bundesliga,VfB Stuttgart,England,Premier League,Nottingham Forest,13.0,False
193,Breel Embolo,Centre-Forward,25,15.0,Germany,Bundesliga,Borussia Mönchengladbach,Monaco,Ligue 1,AS Monaco,12.5,False
