,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
102,Lucas Ocampos,Left Winger,28,25.0,Spain,LaLiga,Sevilla FC,Netherlands,Eredivisie,Ajax Amsterdam,4.0,True
103,Sergio Reguilón,Left-Back,25,25.0,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Atlético de Madrid,0,True
104,Callum Hudson-Odoi,Left Winger,21,25.0,England,Premier League,Chelsea FC,Germany,Bundesliga,Bayer 04 Leverkusen,0,True
105,Conor Coady,Centre-Back,29,25.0,England,Premier League,Wolverhampton Wanderers,England,Premier League,Everton FC,0,True
106,Boubacar Kamara,Defensive Midfield,22,25.0,France,Ligue 1,Olympique Marseille,England,Premier League,Aston Villa,0,False
107,Nicolas Pépé,Right Winger,27,25.0,England,Premier League,Arsenal FC,France,Ligue 1,OGC Nice,0,True
108,Lorenzo Insigne,Left Winger,31,25.0,Italy,Serie A,SSC Napoli,Canada,MLS,Toronto FC,0,False
109,Nathan Collins,Centre-Back,21,10.0,England,Championship,Burnley FC,England,Premier League,Wolverhampton Wanderers,24.3,False
110,Filip Kostić,Left Midfield,29,24.0,Germany,Bundesliga,Eintracht Frankfurt,Italy,Serie A,Juventus FC,14.0,False
111,Calvin Bassey,Centre-Back,22,10.0,Scotland,Premiership,Rangers FC,Netherlands,Eredivisie,Ajax Amsterdam,23.0,False
112,Cheick Doucouré,Defensive Midfield,22,15.0,France,Ligue 1,RC Lens,England,Premier League,Crystal Palace,22.6,False
113,Roméo Lavia,Defensive Midfield,18,2.0,England,Premier League 2,Manchester City U21,England,Premier League,Southampton FC,22.26,False
114,Sofiane Diop,Left Winger,22,20.0,Monaco,Ligue 1,AS Monaco,France,Ligue 1,OGC Nice,22.0,False
115,Jérémie Boga,Left Winger,25,19.0,Italy,Serie A,US Sassuolo,Italy,Serie A,Atalanta BC,22.0,False
116,Thilo Kehrer,Centre-Back,25,22.0,France,Ligue 1,Paris Saint-Germain,England,Premier League,West Ham United,12.0,False
117,Cengiz Ünder,Right Winger,24,22.0,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,11.4,False
118,Julian Weigl,Defensive Midfield,26,22.0,Portugal,Liga Portugal,SL Benfica,Germany,Bundesliga,Borussia Mönchengladbach,0,True
119,James Tarkowski,Centre-Back,29,22.0,England,Championship,Burnley FC,England,Premier League,Everton FC,0,False
120,Mauro Icardi,Centre-Forward,29,22.0,France,Ligue 1,Paris Saint-Germain,Türkiye,Süper Lig,Galatasaray,0,True
121,Jan Bednarek,Centre-Back,26,22.0,England,Premier League,Southampton FC,England,Premier League,Aston Villa,0,True
122,Giovani Lo Celso,Attacking Midfield,26,22.0,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Villarreal CF,0,True
123,Éderson,Central Midfield,22,13.0,Italy,Serie A,US Salernitana 1919,Italy,Serie A,Atalanta BC,21.4,False
124,Maxwel Cornet,Left Winger,25,15.0,England,Championship,Burnley FC,England,Premier League,West Ham United,20.7,False
125,Taiwo Awoniyi,Centre-Forward,24,20.0,Germany,Bundesliga,1.FC Union Berlin,England,Premier League,Nottingham Forest,20.5,False
126,David Carmo,Centre-Back,22,15.0,Portugal,Liga Portugal,SC Braga,Portugal,Liga Portugal,FC Porto,20.28,False
127,Nahuel Molina,Right-Back,24,20.0,Italy,Serie A,Udinese Calcio,Spain,LaLiga,Atlético de Madrid,20.0,False
128,Arnaud Kalimuendo,Centre-Forward,20,18.0,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,Stade Rennais FC,20.0,False
129,Philippe Coutinho,Attacking Midfield,30,20.0,Spain,LaLiga,FC Barcelona,England,Premier League,Aston Villa,20.0,False
130,Umar Sadiq,Centre-Forward,25,18.0,Spain,LaLiga,UD Almería,Spain,LaLiga,Real Sociedad,20.0,False
131,Neco Williams,Right-Back,21,8.0,England,Premier League,Liverpool FC,England,Premier League,Nottingham Forest,20.0,False
132,Rasmus Højlund,Centre-Forward,19,4.5,Austria,Bundesliga,SK Sturm Graz,Italy,Serie A,Atalanta BC,20.0,False
133,Pervis Estupiñán,Left-Back,24,20.0,Spain,LaLiga,Villarreal CF,England,Premier League,Brighton & Hove Albion,17.8,False
134,David Neres,Right Winger,25,20.0,Ukraine,Premier Liga,Shakhtar Donetsk,Portugal,Liga Portugal,SL Benfica,15.3,False
135,Dodô,Right-Back,23,20.0,Ukraine,Premier Liga,Shakhtar Donetsk,Italy,Serie A,ACF Fiorentina,14.5,False
136,Adam Hlozek,Centre-Forward,19,20.0,Czech Republic,Fortuna Liga,AC Sparta Prague,Germany,Bundesliga,Bayer 04 Leverkusen,13.0,False
137,Nordi Mukiele,Right-Back,24,20.0,Germany,Bundesliga,RB Leipzig,France,Ligue 1,Paris Saint-Germain,12.0,False
138,Remo Freuler,Central Midfield,30,20.0,Italy,Serie A,Atalanta BC,England,Premier League,Nottingham Forest,9.0,False
139,Lucas Torreira,Defensive Midfield,26,20.0,England,Premier League,Arsenal FC,Türkiye,Süper Lig,Galatasaray,6.0,False
